id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
1,alien,mugler,False,,"jasmine sambac, cashmeran, amber",https://fimgs.net/images/perfume/nd.707.jpg,,,
2,angel,mugler,False,,"cotton candy, coconut, cassis, melon, jasmine, bergamot, pineapple, mandarin orange, honey, red berries, blackberry, plum, apricot, peach, nutmeg, orchid, caraway, rose, lily-of-the-valley, patchouli, chocolate, caramel, vanilla, tonka bean, amber, musk, sandalwood",https://fimgs.net/images/perfume/nd.704.jpg,,,
3,light-blue,dolce-gabbana,False,,"sicilian lemon, apple, cedar, bellflower, bamboo, jasmine, white rose, musk, amber",https://fimgs.net/images/perfume/nd.485.jpg,,,
4,coco-mademoiselle,chanel,False,,"orange, mandarin orange, bergamot, orange blossom, turkish rose, jasmine, mimosa, ylang-ylang, patchouli, white musk, vanilla, vetiver, tonka bean, opoponax",https://fimgs.net/images/perfume/nd.611.jpg,,,
5,la-vie-est-belle,lancome,False,,"black currant, pear, iris, jasmine, orange blossom, praline, vanilla, patchouli, tonka bean",https://fimgs.net/images/perfume/nd.14982.jpg,,,
6,black-orchid,tom-ford,False,,"truffle, gardenia, black currant, ylang-ylang, jasmine, bergamot, mandarin orange, amalfi lemon, orchid, spices, fruity notes, lotus, mexican chocolate, patchouli, vanille, incense, amber, sandalwood, vetiver, white musk",https://fimgs.net/images/perfume/nd.1018.jpg,,,
7,black-opium,yves-saint-laurent,False,,"pear, pink pepper, orange blossom, coffee, jasmine, bitter almond, licorice, vanilla, patchouli, cashmere wood, cedar",https://fimgs.net/images/perfume/nd.25324.jpg,,,
8,hypnotic-poison,dior,False,,"coconut, plum, apricot, brazilian rosewood, jasmine, caraway, tuberose, rose, lily-of-the-valley, vanilla, almond, sandalwood, musk",https://fimgs.net/images/perfume/nd.219.jpg,,,
9,j-adore,dior,False,,"pear, melon, magnolia, peach, mandarin orange, bergamot, jasmine, lily-of-the-valley, tuberose, freesia, rose, orchid, plum, violet, musk, vanilla, blackberry, cedar",https://fimgs.net/images/perfume/nd.210.jpg,,,
10,sauvage,dior,False,,"calabrian bergamot, pepper, sichuan pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi, ambroxan, cedar, labdanum",https://fimgs.net/images/perfume/nd.31861.jpg,,,
