url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Lifecycle_Status
https://www.fragrantica.com/perfume/paco-rabanne/1-million-23908.html,1-million,paco-rabanne,Spain,men,"2,95",149,2014.0,"blood orange, grapefruit, mint","cinnamon, spices, rose","leather, amber, white woods, patchouli",unknown,,citrus,warm spicy,cinnamon,leather,woody,Active
https://www.fragrantica.com/perfume/franck-boclet/cocaine-44128.html,cocaine,franck-boclet,France,unisex,"3,21",2800,2017.0,"caramel, tobacco, bitter orange, red berries","tuberose, lily, orchid","monoi oil, vanilla, patchouli",unknown,,white floral,tuberose,sweet,caramel,tropical,Active
https://www.fragrantica.com/perfume/kenzo/kenzo-world-40278.html,kenzo-world,kenzo,France,women,"3,29",2981,2016.0,red fruits,"peony, floral notes, egyptian jasmine",ambroxan,francis kurkdjian,,floral,fruity,fresh,amber,musky,Active
https://www.fragrantica.com/perfume/elizabeth-arden/red-door-86.html,red-door,elizabeth-arden,USA,women,"3,3",3908,1989.0,"rose, orange blossom, plum, violet, peach, anise","honey, carnation, rose, tuberose, ylang-ylang, jasmine, lily, lily-of-the-valley, freesia, orchid","sandalwood, amber, benzoin, musk, heliotrope, vetiver, cedar",carlos benaim,,floral,white floral,sweet,powdery,woody,Active
https://www.fragrantica.com/perfume/avon/perceive-1871.html,perceive,avon,USA,women,"3,37",3334,2000.0,"yellow freesia, white pepper","pear, carnation, damask plum, ylang-ylang","musk, sandalwood, vanilla orchid, cedar",christopher sheldrake,,floral,fruity,sweet,fresh spicy,warm spicy,Active
https://www.fragrantica.com/perfume/dior/joy-by-dior-51285.html,joy-by-dior,dior,France,women,"3,38",4346,2018.0,"bergamot, mandarin orange","jasmine, grasse rose, peach, cassis","white musk, sandalwood, cedar, patchouli, benzoin",françois demachy,,citrus,woody,powdery,white floral,musky,Active
https://www.fragrantica.com/perfume/tiziana-terenzi/kirke-32172.html,kirke,tiziana-terenzi,Italy,unisex,"3,39",6518,2015.0,"passionfruit, peach, pear, raspberry, cassis, sand",lily-of-the-valley,"musk, sandalwood, vanilla, patchouli, heliotrope",paolo terenzi,,fruity,sweet,musky,powdery,fresh,Active
https://www.fragrantica.com/perfume/joop/joop-homme-1251.html,joop-homme,joop,Germany,men,"3,43",10087,1989.0,"orange blossom, mandarin orange, bergamot, amalfi lemon","cinnamon, heliotrope, jasmine, cardamom, lily-of-the-valley","vanilla, tonka bean, sandalwood, patchouli, honey, tobacco, vetiver",michel almairac,,vanilla,warm spicy,white floral,powdery,cinnamon,Active
https://www.fragrantica.com/perfume/elizabeth-taylor/white-diamonds-887.html,white-diamonds,elizabeth-taylor,USA,women,"3,43",3050,1991.0,"aldehydes, lily, neroli, orange, bergamot","egyptian tuberose, jasmine, ylang-ylang, narcissus, carnation, italian orris root, turkish rose, cinnamon","amber, musk, sandalwood, oakmoss, patchouli",carlos benaim,,white floral,aldehydic,woody,yellow floral,fresh,Active
https://www.fragrantica.com/perfume/elizabeth-arden/sunflowers-1701.html,sunflowers,elizabeth-arden,USA,women,"3,44",5197,1993.0,"melon, peach, orange blossom, lemon, mandarin orange, bergamot, brazilian rosewood","cyclamen, osmanthus, rose, jasmine, orris root","sandalwood, musk, amber, oakmoss, cedar",david apel,,fruity,citrus,floral,fresh,woody,Active
https://www.fragrantica.com/perfume/maison-martin-margiela/autumn-vibes-67789.html,autumn-vibes,maison-martin-margiela,France,unisex,"3,45",2619,2021.0,"cardamom, pink pepper","nutmeg, maple, carrot seeds","cedar, moss",fanny bal,,woody,powdery,fresh spicy,warm spicy,mossy,Active
https://www.fragrantica.com/perfume/guerlain/la-petite-robe-noire-5454.html,la-petite-robe-noire,guerlain,France,women,"3,49",798,2009.0,"almond, anise, lemon","macarons, licorice, rose","vanilla, patchouli, tea, musk",delphine jelk,,sweet,soft spicy,almond,vanilla,anis,Active
https://www.fragrantica.com/perfume/marc-jacobs/lola-6166.html,lola,marc-jacobs,USA,women,"3,49",3613,2009.0,"pink pepper, pear, grapefruit","rose, peony, geranium","vanilla, musk, tonka bean",calice becker,yann vasnier,rose,floral,sweet,vanilla,fresh,Active
https://www.fragrantica.com/perfume/paco-rabanne/phantom-68226.html,phantom,paco-rabanne,Spain,men,"3,49",4562,2021.0,"lavender, lemon zest, amalfi lemon","lavender, earthy notes, apple, smoke, patchouli","vanilla, lavender, vetiver",unknown,,citrus,vanilla,lavender,earthy,aromatic,Active
https://www.fragrantica.com/perfume/yves-rocher/comme-une-evidence-2167.html,comme-une-evidence,yves-rocher,France,women,"3,5",5085,2003.0,"rhubarb, violet leaf","lily-of-the-valley, rose","oakmoss, patchouli, musk",annick menardo,,white floral,green,rose,mossy,earthy,Active
https://www.fragrantica.com/perfume/cacharel/anais-anais-236.html,anais-anais,cacharel,France,women,"3,51",8756,1978.0,"white lily, hiacynth, honeysuckle, galbanum, orange blossom, lavender, bergamot, black currant, lemon","lily, lily-of-the-valley, moroccan jasmine, carnation, honeysuckle, tuberose, ylang-ylang, iris, rose, orris root","oakmoss, incense, musk, leather, sandalwood, vetiver, cedar, patchouli, amber",unknown,,white floral,floral,green,woody,earthy,Active
https://www.fragrantica.com/perfume/versace/red-jeans-638.html,red-jeans,versace,Italy,women,"3,53",3145,1994.0,"peach, apricot, freesia, black currant","rose, violet, lily-of-the-valley, water lily, ylang-ylang","musk, vanilla, sandalwood",jean-pierre bethouart,,floral,fruity,powdery,rose,sweet,Active
https://www.fragrantica.com/perfume/yves-rocher/moment-de-bonheur-13041.html,moment-de-bonheur,yves-rocher,France,women,"3,53",3494,2011.0,"green notes, geranium",rose,"virginia cedar, patchouli",annick menardo,,rose,green,fresh spicy,woody,aromatic,Active
https://www.fragrantica.com/perfume/dolce-gabbana/dolce-22955.html,dolce,dolce-gabbana,Italy,women,"3,54",4801,2014.0,"neroli, papaya flower","water lily, narcissus, amaryllis","musk, cashmeran",unknown,,floral,musky,fresh,powdery,aquatic,Active
https://www.fragrantica.com/perfume/beyonce/heat-7745.html,heat,beyonce,USA,women,"3,55",3584,2010.0,"peach, orchid, magnolia, neroli","almond, macarons, musk, honeysuckle","amber, tonka bean, sequoia",claude dir,olivier gillotin,sweet,fruity,amber,almond,floral,Active
https://www.fragrantica.com/perfume/avon/far-away-4908.html,far-away,avon,USA,women,"3,56",5832,1994.0,"coconut, ylang-ylang, peach, karo karounde, orange","jasmine, gardenia, violet, freesia, osmanthus, rose","vanilla, sandalwood, amber, musk",rené morgenthaler,xavier renard,vanilla,powdery,sweet,white floral,woody,Active
https://www.fragrantica.com/perfume/avon/pur-blanca-2378.html,pur-blanca,avon,USA,women,"3,57",4784,2003.0,"freesia, mint, bergamot","peony, white rose, white lotus","musk, heliotrope, sandalwood",harry fremont,,floral,powdery,musky,rose,fresh,Active
https://www.fragrantica.com/perfume/mugler/angel-704.html,angel,mugler,France,women,"3,57",29722,1992.0,"cotton candy, coconut, cassis, melon, jasmine, bergamot, pineapple, mandarin orange","honey, red berries, blackberry, plum, apricot, peach, jasmine, nutmeg, orchid, caraway, rose, lily-of-the-valley","patchouli, chocolate, caramel, vanilla, tonka bean, amber, musk, sandalwood",olivier cresp,yves de chirin,sweet,patchouli,fruity,warm spicy,caramel,Active
https://www.fragrantica.com/perfume/clinique/clinique-happy-372.html,clinique-happy,clinique,USA,women,"3,57",7206,1998.0,"orange, blood grapefruit, indian mandarin, bergamot, apple, plum","lily-of-the-valley, freesia, orchid, rose","mimosa, lily, magnolia, musk, amber",jean claude delville,rodrigo flores-roux,citrus,floral,white floral,sweet,fresh spicy,Active
https://www.fragrantica.com/perfume/avon/incandessence-2380.html,incandessence,avon,USA,women,"3,59",4307,2000.0,"orchid, lily-of-the-valley, cyclamen","tulip, peony",orchid,givaudan,,floral,fresh,,,,Active
https://www.fragrantica.com/perfume/davidoff/cool-water-508.html,cool-water,davidoff,Switzerland,women,"3,59",8803,1996.0,"melon, lotus, lemon, pineapple, quince, calone, lily, black currant","lotus, water lily, lily-of-the-valley, jasmine, honey, hawthorn, rose","musk, vetiver, violet root, raspberry, blackberry, peach, sandalwood, vanilla",pierre bourdon,,fresh,floral,fruity,aquatic,ozonic,Active
https://www.fragrantica.com/perfume/dolce-gabbana/k-by-dolce-gabbana-56358.html,k-by-dolce-gabbana,dolce-gabbana,Italy,men,"3,59",2991,2019.0,"juniper berries, citruses, blood orange, sicilian lemon","pimento, lavender, clary sage, geranium","vetiver, cedar, patchouli",daphné bugey,nathalie lorson,aromatic,citrus,woody,fresh spicy,warm spicy,Active
https://www.fragrantica.com/perfume/gucci/gucci-bamboo-30815.html,gucci-bamboo,gucci,Italy,women,"3,59",4271,2015.0,bergamot,"casablanca lily, ylang-ylang, orange blossom","sandalwood, tahitian vanilla, amber",unknown,,white floral,citrus,woody,yellow floral,sweet,Active
https://www.fragrantica.com/perfume/agent-provocateur/agent-provocateur-205.html,agent-provocateur,agent-provocateur,UK,women,"3,59",6357,2000.0,"indian saffron, magnolia","moroccan rose, vetiver, egyptian jasmine, gardenia","musk, cedar, amber",christian provenzano,,rose,musky,woody,warm spicy,floral,Active
